Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,,,200,849.100,37.16,81.625,0.74,6.711.047,93.44
,,,,20,"[0, 47]",5,908.007,39.73,2.611.660,23.53,4.652.270,64.78
,,,,,,10,767.329,33.58,1.371.132,12.35,4.767.375,66.38
,,,,,,25,697.987,30.54,574.574,5.18,5.009.200,69.75
,,,,,,50,699.950,30.63,300.357,2.71,5.299.121,73.78
,,,,,,100,719.470,31.48,156.720,1.41,5.598.918,77.96
,,,,,,200,748.200,32.74,81.625,0.74,5.903.851,82.2
,,,,30,"[0, 71]",5,805.740,35.26,2.611.660,23.53,3.834.138,53.39
,,,,,,10,640.033,28.01,1.371.132,12.35,3.749.010,52.2
,,,,,,25,558.139,24.42,574.574,5.18,3.890.416,54.17
,,,,,,50,551.124,24.12,300.357,2.71,4.108.509,57.21
,,,,,,100,561.793,24.58,156.720,1.41,4.337.496,60.39
,,,,,,200,581.715,25.46,81.625,0.74,4.571.970,63.66
,,,CoderCA,0,"[0, 0]",5,1.679.903,73.51,4.352.760,39.22,9.086.336,126.51
,,,,,,10,1.528.438,66.88,2.492.952,22.46,9.734.430,135.54
,,,,,,25,1.435.996,62.84,1.104.928,9.95,10.382.912,144.57
,,,,,,50,1.452.588,63.56,588.938,5.31,11.031.640,153.6
,,,,,,100,1.498.862,65.59,310.320,2.8,11.680.452,162.63
,,,,,,200,1.561.488,68.33,162.450,1.46,12.329.328,171.67
,,,,3,"[0, 7]",5,1.592.168,69.67,4.352.760,39.22,8.384.460,116.74
,,,,,,10,1.422.501,62.25,2.492.952,22.46,8.886.930,123.74
,,,,,,25,1.316.892,57.63,1.104.928,9.95,9.430.080,131.3
,,,,,,50,1.324.663,57.97,588.938,5.31,10.008.240,139.35
,,,,,,100,1.362.895,59.64,310.320,2.8,10.592.712,147.49
,,,,,,200,1.417.753,62.04,162.450,1.46,11.179.448,155.66
,,,,5,"[0, 12]",5,1.563.815,68.43,4.352.760,39.22,8.157.632,113.58
,,,,,,10,1.389.111,60.79,2.492.952,22.46,8.619.810,120.02
,,,,,,25,1.277.892,55.92,1.104.928,9.95,9.118.080,126.96
,,,,,,50,1.281.963,56.1,588.938,5.31,9.666.642,134.59
,,,,,,100,1.317.008,57.63,310.320,2.8,10.225.620,142.38
,,,,,,200,1.369.094,59.91,162.450,1.46,10.790.176,150.24
,,,,10,"[0, 24]",5,1.506.983,65.95,4.352.760,39.22,7.702.982,107.25
,,,,,,10,1.325.023,57.98,2.492.952,22.46,8.107.110,112.88
,,,,,,25,1.206.976,52.82,1.104.928,9.95,8.550.752,119.06
,,,,,,50,1.205.093,52.73,588.938,5.31,9.051.684,126.03
,,,,,,100,1.234.780,54.03,310.320,2.8,9.567.792,133.22
,,,,,,200,1.281.846,56.09,162.450,1.46,10.092.192,140.52
,,,,15,"[0, 36]",5,1.454.270,63.64,4.352.760,39.22,7.281.274,101.38
,,,,,,10,1.266.396,55.42,2.492.952,22.46,7.638.090,106.35
,,,,,,25,1.143.156,50.02,1.104.928,9.95,8.040.192,111.95
,,,,,,50,1.136.749,49.74,588.938,5.31,8.504.930,118.42
,,,,,,100,1.161.992,50.85,310.320,2.8,8.985.492,125.11
,,,,,,200,1.204.692,52.72,162.450,1.46,9.474.958,131.93
,,,,20,"[0, 47]",5,1.409.822,61.69,4.352.760,39.22,6.925.688,96.43
,,,,,,10,1.216.566,53.24,2.492.952,22.46,7.239.450,100.8
,,,,,,25,1.089.384,47.67,1.104.928,9.95,7.610.016,105.96
