Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,vwc_222.smet.csv,26.304,,,,10,91.107,40.44,100.485,57.29,627.564,38.59
,vwc_222.smet.csv,26.304,,,,25,45.002,19.97,44.572,25.41,314.640,19.35
,vwc_222.smet.csv,26.304,,,,50,29.347,13.03,23.782,13.56,210.192,12.93
,vwc_222.smet.csv,26.304,,,,100,21.867,9.71,12.576,7.17,161.551,9.93
,vwc_222.smet.csv,26.304,,,,200,18.941,8.41,6.600,3.76,144.126,8.86
,vwc_222.smet.csv,26.304,,30,"[0, 6, 4, 5, 8, 5, 7, 5, 6, 8, 3]",5,153.188,67.99,175.400,100.0,1.049.295,64.53
,vwc_222.smet.csv,26.304,,,,10,89.894,39.9,100.485,57.29,617.862,38.0
,vwc_222.smet.csv,26.304,,,,25,42.497,18.86,44.572,25.41,294.600,18.12
,vwc_222.smet.csv,26.304,,,,50,25.653,11.39,23.782,13.56,180.640,11.11
,vwc_222.smet.csv,26.304,,,,100,17.124,7.6,12.576,7.17,123.607,7.6
,vwc_222.smet.csv,26.304,,,,200,13.208,5.86,6.600,3.76,98.262,6.04
,vwc_333.smet.csv,26.088,CoderCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,227.233,100,173.960,100,1.643.096,100
,vwc_333.smet.csv,26.088,,,,10,191.321,84.2,99.666,57.29,1.430.100,87.04
,vwc_333.smet.csv,26.088,,,,25,173.347,76.29,44.220,25.42,1.341.750,81.66
,vwc_333.smet.csv,26.088,,,,50,176.738,77.78,23.598,13.57,1.389.504,84.57
,vwc_333.smet.csv,26.088,,,,100,184.315,81.11,12.480,7.17,1.461.235,88.93
,vwc_333.smet.csv,26.088,,,,200,193.634,85.21,6.550,3.77,1.541.718,93.83
,vwc_333.smet.csv,26.088,,3,"[0, 2, 0, 0, 2, 1, 1, 0, 0, 2, 3]",5,184.466,81.18,173.960,100.0,1.300.962,79.18
,vwc_333.smet.csv,26.088,,,,10,133.031,58.54,99.666,57.29,963.774,58.66
,vwc_333.smet.csv,26.088,,,,25,100.291,44.14,44.220,25.42,757.305,46.09
,vwc_333.smet.csv,26.088,,,,50,94.492,41.58,23.598,13.57,731.536,44.52
,vwc_333.smet.csv,26.088,,,,100,94.799,41.72,12.480,7.17,745.110,45.35
,vwc_333.smet.csv,26.088,,,,200,97.917,43.09,6.550,3.77,775.980,47.23
,vwc_333.smet.csv,26.088,,5,"[0, 4, 1, 0, 3, 2, 2, 0, 1, 3, 5]",5,168.700,74.24,173.960,100.0,1.174.836,71.5
,vwc_333.smet.csv,26.088,,,,10,111.327,48.99,99.666,57.29,790.146,48.09
,vwc_333.smet.csv,26.088,,,,25,72.198,31.77,44.220,25.42,532.560,32.41
,vwc_333.smet.csv,26.088,,,,50,62.006,27.29,23.598,13.57,471.648,28.7
,vwc_333.smet.csv,26.088,,,,100,58.902,25.92,12.480,7.17,457.929,27.87
,vwc_333.smet.csv,26.088,,,,200,59.264,26.08,6.550,3.77,466.758,28.41
,vwc_333.smet.csv,26.088,,10,"[0, 8, 1, 1, 5, 3, 5, 1, 1, 5, 11]",5,158.485,69.75,173.960,100.0,1.093.118,66.53
,vwc_333.smet.csv,26.088,,,,10,97.275,42.81,99.666,57.29,677.726,41.25
,vwc_333.smet.csv,26.088,,,,25,53.778,23.67,44.220,25.42,385.200,23.44
,vwc_333.smet.csv,26.088,,,,50,40.476,17.81,23.598,13.57,299.408,18.22
,vwc_333.smet.csv,26.088,,,,100,34.851,15.34,12.480,7.17,265.523,16.16
,vwc_333.smet.csv,26.088,,,,200,33.139,14.58,6.550,3.77,257.760,15.69
,vwc_333.smet.csv,26.088,,15,"[0, 12, 2, 1, 8, 5, 7, 1, 2, 8, 16]",5,156.812,69.01,173.960,100.0,1.079.728,65.71
,vwc_333.smet.csv,26.088,,,,10,93.911,41.33,99.666,57.29,650.818,39.61
,vwc_333.smet.csv,26.088,,,,25,47.999,21.12,44.220,25.42,338.970,20.63
,vwc_333.smet.csv,26.088,,,,50,32.996,14.52,23.598,13.57,239.568,14.58
,vwc_333.smet.csv,26.088,,,,100,26.051,11.46,12.480,7.17,195.126,11.88
,vwc_333.smet.csv,26.088,,,,200,23.442,10.32,6.550,3.77,180.180,10.97
,vwc_333.smet.csv,26.088,,20,"[0, 16, 2, 2, 10, 7, 10, 2, 3, 10, 21]",5,156.058,68.68,173.960,100.0,1.073.696,65.35
,vwc_333.smet.csv,26.088,,,,10,92.159,40.56,99.666,57.29,636.804,38.76
,vwc_333.smet.csv,26.088,,,,25,44.634,19.64,44.220,25.42,312.045,18.99
,vwc_333.smet.csv,26.088,,,,50,28.122,12.38,23.598,13.57,200.576,12.21
,vwc_333.smet.csv,26.088,,,,100,20.157,8.87,12.480,7.17,147.968,9.01
,vwc_333.smet.csv,26.088,,,,200,16.753,7.37,6.550,3.77,126.666,7.71
,vwc_333.smet.csv,26.088,,30,"[0, 24, 3, 3, 15, 10, 15, 3, 4, 16, 32]",5,155.660,68.5,173.960,100.0,1.070.511,65.15
,vwc_333.smet.csv,26.088,,,,10,91.388,40.22,99.666,57.29,630.630,38.38
,vwc_333.smet.csv,26.088,,,,25,42.965,18.91,44.220,25.42,298.695,18.18
