Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,3,"[0, 30, 30, 24, 33, 31, 29, 'N', 51, 'N', 'N', 3, 22, 'N', 36, 18, 'N', 31, 39, 2, 47, 54, 35, 26, 'N', 54, 'N', 31, 14, 60, 9, 37, 'N', 4, 35, 42, 37, 'N', 36, 4, 'N', 'N', 43, 'N', 'N', 'N', 3, 21, 'N', 32, 21, 134, 62, 167, 'N', 36]",5,195.172,39.59,32.930,44.1,1.524.486,39.44
,,,,,,10,118.796,24.1,17.366,23.26,929.040,24.04
,,,,,,25,75.415,15.3,7.410,9.92,591.945,15.32
,,,,,,50,64.311,13.05,4.280,5.73,506.242,13.1
,,,,,,100,61.219,12.42,2.706,3.62,483.079,12.5
,,,,,,200,61.091,12.39,1.890,2.53,482.872,12.49
,,,,5,"[0, 50, 50, 41, 55, 52, 48, 'N', 85, 'N', 'N', 5, 36, 'N', 61, 31, 'N', 51, 65, 4, 79, 89, 58, 43, 'N', 89, 'N', 52, 23, 101, 15, 62, 'N', 7, 58, 69, 62, 'N', 60, 7, 'N', 'N', 72, 'N', 'N', 'N', 5, 34, 'N', 53, 35, 223, 104, 279, 'N', 61]",5,188.586,38.26,32.930,44.1,1.471.793,38.08
,,,,,,10,107.929,21.89,17.366,23.26,842.100,21.79
,,,,,,25,60.212,12.21,7.410,9.92,470.322,12.17
,,,,,,50,46.459,9.42,4.280,5.73,363.426,9.4
,,,,,,100,41.612,8.44,2.706,3.62,326.227,8.44
,,,,,,200,40.641,8.24,1.890,2.53,319.272,8.26
,,,,10,"[0, 101, 100, 81, 111, 104, 95, 'N', 170, 'N', 'N', 11, 72, 'N', 122, 61, 'N', 103, 130, 7, 158, 179, 116, 86, 'N', 179, 'N', 103, 47, 201, 30, 124, 'N', 14, 116, 139, 125, 'N', 119, 14, 'N', 'N', 144, 'N', 'N', 'N', 9, 69, 'N', 106, 70, 447, 207, 558, 'N', 121]",5,184.366,37.4,32.930,44.1,1.438.038,37.21
,,,,,,10,100.631,20.41,17.366,23.26,783.716,20.28
,,,,,,25,49.407,10.02,7.410,9.92,383.886,9.93
,,,,,,50,33.211,6.74,4.280,5.73,257.448,6.66
,,,,,,100,26.341,5.34,2.706,3.62,204.056,5.28
,,,,,,200,24.153,4.9,1.890,2.53,187.368,4.85
,,,,15,"[0, 151, 149, 122, 166, 156, 143, 'N', 255, 'N', 'N', 16, 108, 'N', 182, 92, 'N', 154, 195, 11, 237, 268, 174, 129, 'N', 268, 'N', 155, 70, 302, 45, 186, 'N', 21, 173, 208, 187, 'N', 179, 21, 'N', 'N', 216, 'N', 'N', 'N', 14, 103, 'N', 159, 106, 670, 311, 837, 'N', 182]",5,183.249,37.17,32.930,44.1,1.429.097,36.98
,,,,,,10,98.810,20.04,17.366,23.26,769.148,19.9
